DATE,COVID
4/22/2021,241353
4/23/2021,241814
4/24/2021,241814
4/25/2021,241814
4/26/2021,242524
4/27/2021,242819
4/28/2021,243155
4/29/2021,243550
4/30/2021,243942
5/1/2021,243942
5/2/2021,243942
5/3/2021,244647
5/4/2021,245034
5/5/2021,245358
5/6/2021,245693
5/7/2021,246106
5/8/2021,246106
5/9/2021,246106
5/10/2021,246811
5/11/2021,247186
5/12/2021,247606
5/13/2021,248006
5/14/2021,248336
5/15/2021,248336
5/16/2021,248336
5/17/2021,248793
5/18/2021,249011
5/19/2021,249295
5/20/2021,249573
5/21/2021,249831
5/22/2021,249831
5/23/2021,249831
5/24/2021,250169
5/25/2021,250386
5/26/2021,250573
5/27/2021,250785
5/28/2021,251012
5/29/2021,251012
5/30/2021,251012
5/31/2021,251012
6/1/2021,251460
6/2/2021,251809
6/3/2021,252137
6/4/2021,252450
6/5/2021,252450
6/6/2021,252450
6/7/2021,253006
6/8/2021,253297
6/9/2021,253506
6/10/2021,253754
6/11/2021,253969
6/12/2021,253969
6/13/2021,253969
6/14/2021,254376
6/15/2021,254583
6/16/2021,254912
6/17/2021,255153
6/18/2021,255515
6/19/2021,255515
6/20/2021,255515
6/21/2021,256067
6/22/2021,256415
6/23/2021,256826
6/24/2021,257221
6/25/2021,257961
6/26/2021,257961
6/27/2021,257961
6/28/2021,258822
6/29/2021,259356
6/30/2021,259885
7/1/2021,260389
7/2/2021,260838
7/3/2021,260838
7/4/2021,260838
7/5/2021,260838
7/6/2021,262134
7/7/2021,262481
7/8/2021,263144
7/9/2021,263915
7/10/2021,263915
7/11/2021,263915
7/12/2021,265462
7/13/2021,266224
7/14/2021,266846
7/15/2021,267734
7/16/2021,268514
7/17/2021,268514
7/18/2021,268514
7/19/2021,270421
7/20/2021,271310
7/21/2021,272152
7/22/2021,272979
7/23/2021,273860
7/24/2021,273860
7/25/2021,273860
7/26/2021,275983
7/27/2021,276934
7/28/2021,277982
7/29/2021,279142
7/30/2021,280201
7/31/2021,280201
8/1/2021,280201
8/2/2021,282357
8/3/2021,283321
8/4/2021,284046
8/5/2021,284982
8/6/2021,285938
8/7/2021,285938
8/8/2021,285938
8/9/2021,288381
8/10/2021,289114
8/11/2021,289746
8/12/2021,290632
8/13/2021,291502
8/14/2021,291502
8/15/2021,291502
8/16/2021,293466
8/17/2021,294015
8/18/2021,295104
8/19/2021,296022
8/20/2021,296722
8/21/2021,296722
8/22/2021,296722
8/23/2021,298914
8/24/2021,299565
8/25/2021,300358
8/26/2021,301011
8/27/2021,301709
8/28/2021,301709
8/29/2021,301709
8/30/2021,303487
8/31/2021,304102
9/1/2021,304856
9/2/2021,305401
9/3/2021,306149
9/4/2021,306149
9/5/2021,306149
9/6/2021,306149
9/7/2021,308228
9/8/2021,308741
9/9/2021,309175
9/10/2021,309977
9/11/2021,309977
9/12/2021,309977
9/13/2021,311915
9/14/2021,312334
9/15/2021,312821
9/16/2021,313601
9/17/2021,314282
9/18/2021,314282
9/19/2021,314282
9/20/2021,315569
9/21/2021,316045
9/22/2021,316397
9/23/2021,316956
9/24/2021,317520
9/25/2021,317520
9/26/2021,317520
9/27/2021,318665
9/28/2021,319081
9/29/2021,319545
9/30/2021,320232
10/1/2021,320777
10/2/2021,320777
10/3/2021,320777
10/4/2021,329480
10/5/2021,329968
10/6/2021,330432
10/7/2021,330432
10/8/2021,331430
10/9/2021,331430
10/10/2021,331430
10/11/2021,332667
10/12/2021,333186
10/13/2021,333608
10/14/2021,334036
10/15/2021,334318
10/16/2021,334318
10/17/2021,334318
10/18/2021,335241
10/19/2021,335812
10/20/2021,336148
10/21/2021,336148
10/22/2021,336995
10/23/2021,336995
10/24/2021,336995
10/25/2021,338002
10/26/2021,338328
10/27/2021,338853
10/28/2021,339255
10/29/2021,339255
10/30/2021,339255
10/31/2021,339255
11/1/2021,340929
11/2/2021,341356
11/3/2021,341823
11/4/2021,342291
11/5/2021,342841
11/6/2021,342841
11/7/2021,342841
11/8/2021,343896
11/9/2021,344394
11/10/2021,344785
11/11/2021,344785
11/12/2021,345658
11/13/2021,345658
11/14/2021,345658
11/15/2021,346868
11/16/2021,347437
11/17/2021,347908
11/18/2021,348395
11/19/2021,348819
11/20/2021,348819
11/21/2021,348819
11/22/2021,350174
11/23/2021,350613
11/24/2021,351155
